pathway	Juan01	Juan02	Juan03	Juan04	Juan05	Juan06	Juan07	Juan08	Juan09	Juan10	Juan11	Juan12	Juan13	Juan14	Juan15	Juan16	Juan17	Juan18	Juan19	Juan20	Juan21	Juan22	Juan23	Juan24	Juan25	Juan26	Juan27	Juan28	Juan29	Juan30	Juan31	Juan32	Juan33	Juan34	Juan35	Juan36	Juan37	Juan38	Juan39	Juan40	Juan41	Juan42	Juan43	Juan44	Juan45	Juan46	Juan47	Juan48	Juan49	Juan50	Juan51	Juan52	Juan53	Juan54	Juan55	Juan56	Juan57	Juan58	Juan59	Juan60	Juan61	Juan62	Juan63	Juan64	Juan65	Juan66
PWY-5845	5749.7439	6531.9222	7854.7382	15441.3631	16438.07	18530.9345	19650.8206	11725.4994	18305.9599	14822.731	18429.0385	11342.0517	7348.7373	13562.8297	19490.1672	289.5442	804.722	356.9694	9802.7921	7674.5432	6733.3245	13171.5556	9745.9077	9554.5669	15593.01	12703.9026	13185.8378	2897.3861	5385.1522	7355.9701	5996.2432	1852.1358	5089.6766	14301.5856	15133.9429	17115.3885	19429.9494	11378.5009	16346.6045	10897.2848	9948.8087	11504.3038	10641.1925	4659.2475	9610.5128	272.7237	153.4834	6259.5404	17580.2216	10753.3521	11281.6234	15081.2921	14581.0866	15151.9225	10967.2806	6648.6059	10689.9794	8582.4578	12221.1103	9383.6782	57170.5353	41839.285	44804.0292	40104.0449	35160.067	29656.3576
PWY-5850	5749.7439	6531.9222	7854.7382	15441.3631	16438.07	18530.9345	19650.8206	11725.4994	18305.9599	14822.731	18429.0385	11342.0517	7348.7373	13562.8297	19490.1672	289.5442	804.722	356.9694	9802.7921	7674.5432	6733.3245	13171.5556	9745.9077	9554.5669	15593.01	12703.9026	13185.8378	2897.3861	5385.1522	7355.9701	5996.2432	1852.1358	5089.6766	14301.5856	15133.9429	17115.3885	19429.9494	11378.5009	16346.6045	10897.2848	9948.8087	11504.3038	10641.1925	4659.2475	9610.5128	272.7237	153.4834	6259.5404	17580.2216	10753.3521	11281.6234	15081.2921	14581.0866	15151.9225	10967.2806	6648.6059	10689.9794	8582.4578	12221.1103	9383.6782	57170.5353	41839.285	44804.0292	40104.0449	35160.067	29656.3576
PWY-5855	18225.4529	25316.7922	25167.2553	28768.6714	29843.3885	35863.8245	38941.3372	21858.1588	36088.1694	30577.0525	33099.4309	20984.7274	16105.1367	25282.3571	32279.0363	3363.7119	6562.295	5720.0504	23243.2839	17890.2733	16818.6448	29019.3938	22118.2485	20285.2603	30071.5844	26672.1591	25086.4998	9468.2622	16003.3644	18459.6571	21709.138	9458.8926	17852.7687	30635.4966	30867.2387	26970.4726	36600.213	21027.9036	35691.353	20607.5506	19704.0776	23142.5182	25808.313	11143.6646	22184.8855	3757.7364	4190.4351	7977.5252	39570.4663	26607.2231	27379.1983	33461.0094	32511.7629	31826.5255	22760.5246	15115.2299	23873.5579	22049.5486	30905.1146	24781.9835	52701.3742	37566.4964	41754.8357	35199.957	30861.7056	25100.8574
PWY-5856	18225.4529	25316.7922	25167.2553	28768.6714	29843.3885	35863.8245	38941.3372	21858.1588	36088.1694	30577.0525	33099.4309	20984.7274	16105.1367	25282.3571	32279.0363	3363.7119	6562.295	5720.0504	23243.2839	17890.2733	16818.6448	29019.3938	22118.2485	20285.2603	30071.5844	26672.1591	25086.4998	9468.2622	16003.3644	18459.6571	21709.138	9458.8926	17852.7687	30635.4966	30867.2387	26970.4726	36600.213	21027.9036	35691.353	20607.5506	19704.0776	23142.5182	25808.313	11143.6646	22184.8855	3757.7364	4190.4351	7977.5252	39570.4663	26607.2231	27379.1983	33461.0094	32511.7629	31826.5255	22760.5246	15115.2299	23873.5579	22049.5486	30905.1146	24781.9835	52701.3742	37566.4964	41754.8357	35199.957	30861.7056	25100.8574
PWY-5857	18225.4529	25316.7922	25167.2553	28768.6714	29843.3885	35863.8245	38941.3372	21858.1588	36088.1694	30577.0525	33099.4309	20984.7274	16105.1367	25282.3571	32279.0363	3363.7119	6562.295	5720.0504	23243.2839	17890.2733	16818.6448	29019.3938	22118.2485	20285.2603	30071.5844	26672.1591	25086.4998	9468.2622	16003.3644	18459.6571	21709.138	9458.8926	17852.7687	30635.4966	30867.2387	26970.4726	36600.213	21027.9036	35691.353	20607.5506	19704.0776	23142.5182	25808.313	11143.6646	22184.8855	3757.7364	4190.4351	7977.5252	39570.4663	26607.2231	27379.1983	33461.0094	32511.7629	31826.5255	22760.5246	15115.2299	23873.5579	22049.5486	30905.1146	24781.9835	52701.3742	37566.4964	41754.8357	35199.957	30861.7056	25100.8574
PWY-5860	4011.1164	4535.9761	5489.3115	11613.4376	12224.0095	13789.5533	14615.2627	8704.1438	13452.9576	10752.0621	13464.2161	8194.9582	5235.5768	9794.7143	14266.6539	193.7865	539.9656	238.6736	6867.4672	5382.265	4700.327	9292.0015	6855.7136	6743.6722	11080.159	8958.9713	9360.9833	2009.5477	3739.4996	5136.3859	4160.1012	1267.8245	3535.4878	10547.4021	11183.7954	12901.5351	14380.8491	8341.742	11805.3169	7938.2865	7173.8108	8282.9157	7614.1376	3313.1199	6850.5633	182.4744	102.495	4474.9836	12348.5495	7509.8628	7893.8161	10622.726	10258.2825	10676.4103	7738.906	4663.0585	7511.1627	5988.4371	8572.0804	6528.7395	45055.6767	32951.0013	35150.8557	31032.3787	27136.3726	22775.8204
PWY-5861	17243.6884	19492.8013	21939.288	15422.2024	19367.8899	19334.0814	18921.0582	14451.3674	24576.3258	22155.3516	27631.6896	19777.4197	18018.2688	27132.6363	33565.7867	9370.1984	15149.3785	15243.918	24430.6488	18550.3747	17641.8952	27458.9124	21725.0461	20207.8829	28557.1553	26716.5016	24574.8179	8850.257	16691.6929	20535.2851	20259.9962	9541.7984	17489.8378	16380.0645	17155.2096	19320.4968	24229.0864	16487.5954	28259.0573	15428.2893	17657.4537	20806.385	19829.4257	10785.1222	21934.1584	9119.9963	11617.8859	12798.6815	41661.4299	29822.6696	30112.1788	30324.2561	31558.8787	33787.7836	22793.4459	15635.9077	24005.0669	24183.5408	28426.2163	27663.3	65279.5061	48628.7525	51647.4649	54598.7754	48285.2014	44782.1606
PWY-5862	4011.1164	4535.9761	5489.3115	11613.4376	12224.0095	13789.5533	14615.2627	8704.1438	13452.9576	10752.0621	13464.2161	8194.9582	5235.5768	9794.7143	14266.6539	193.7865	539.9656	238.6736	6867.4672	5382.265	4700.327	9292.0015	6855.7136	6743.6722	11080.159	8958.9713	9360.9833	2009.5477	3739.4996	5136.3859	4160.1012	1267.8245	3535.4878	10547.4021	11183.7954	12901.5351	14380.8491	8341.742	11805.3169	7938.2865	7173.8108	8282.9157	7614.1376	3313.1199	6850.5633	182.4744	102.495	4474.9836	12348.5495	7509.8628	7893.8161	10622.726	10258.2825	10676.4103	7738.906	4663.0585	7511.1627	5988.4371	8572.0804	6528.7395	45055.6767	32951.0013	35150.8557	31032.3787	27136.3726	22775.8204
PWY-5863	15404.7187	17037.3282	19500.0536	13386.0235	16756.4074	16750.4513	15865.1899	12846.1447	22152.1081	19611.0976	24410.5963	17613.849	17474.1961	25602.9264	31356.8621	8527.9829	12644.4283	13123.4481	19338.859	14711.3723	13835.7555	21396.858	17028.685	15987.9598	22174.3098	21070.2288	19031.5766	7024.0592	13427.5936	16491.6675	17567.1117	8243.144	15453.0566	14266.0345	14648.9341	16869.474	21846.5858	14759.9292	25677.5548	13303.3455	15504.2807	18555.3172	17765.0021	10101.5211	20480.3583	7717.0789	10138.9385	11056.1126	33244.2167	24093.6321	24170.459	23238.7623	24671.4532	26778.4315	17831.8137	12314.9926	18828.3441	19344.6769	22248.3755	22148.3119	57022.8894	42820.553	45206.6447	48718.8043	43085.88	41395.5633
PWY-5896	5749.7439	6531.9222	7854.7382	15441.3631	16438.07	18530.9345	19650.8206	11725.4994	18305.9599	14822.731	18429.0385	11342.0517	7348.7373	13562.8297	19490.1672	289.5442	804.722	356.9694	9802.7921	7674.5432	6733.3245	13171.5556	9745.9077	9554.5669	15593.01	12703.9026	13185.8378	2897.3861	5385.1522	7355.9701	5996.2432	1852.1358	5089.6766	14301.5856	15133.9429	17115.3885	19429.9494	11378.5009	16346.6045	10897.2848	9948.8087	11504.3038	10641.1925	4659.2475	9610.5128	272.7237	153.4834	6259.5404	17580.2216	10753.3521	11281.6234	15081.2921	14581.0866	15151.9225	10967.2806	6648.6059	10689.9794	8582.4578	12221.1103	9383.6782	57170.5353	41839.285	44804.0292	40104.0449	35160.067	29656.3576
