pathway	Juan01	Juan02	Juan03	Juan04	Juan05	Juan06	Juan07	Juan08	Juan09	Juan10	Juan11	Juan12	Juan13	Juan14	Juan15	Juan16	Juan17	Juan18	Juan19	Juan20	Juan21	Juan22	Juan23	Juan24	Juan25	Juan26	Juan27	Juan28	Juan29	Juan30	Juan31	Juan32	Juan33	Juan34	Juan35	Juan36	Juan37	Juan38	Juan39	Juan40	Juan41	Juan42	Juan43	Juan44	Juan45	Juan46	Juan47	Juan48	Juan49	Juan50	Juan51	Juan52	Juan53	Juan54	Juan55	Juan56	Juan57	Juan58	Juan59	Juan60	Juan61	Juan62	Juan63	Juan64	Juan65	Juan66
1CMET2-PWY	36940.4162	46014.6357	48902.8809	43410.2623	49475.5047	55340.8476	59393.0854	35462.2468	58373.4012	52964.452	61373.5766	43176.299	35440.3778	54030.2718	67008.7916	16312.3343	26272.3601	26784.8949	38143.6416	29318.6187	28206.2437	47256.3503	36633.8831	33650.2386	49714.6124	43768.2344	42177.4645	14223.1389	25143.9627	29632.9122	43014.3716	19630.4567	36192.6942	45645.4839	46507.1236	43796.539	59479.1362	37158.1935	62602.0285	36990.6724	37747.5052	44737.7131	45705.5653	22427.3236	44413.3027	15867.3555	19527.4188	22575.9937	65250.0174	43788.7979	45226.6997	53767.2868	52501.5481	52458.0672	37886.1968	25086.0054	39793.5513	34796.81	46986.0228	39630.8982	110606.4613	80158.523	88338.0043	86258.0773	76050.2054	66657.1067
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	640.0606	1222.0509	986.9583	3148.671	4311.2595	2915.568	4846.9171	3840.6616	3279.273	1633.5251	2499.8245	1000.4774	722.6543	1119.8676	1901.4635	913.9846	1431.4936	1293.7784	677.0186	683.7904	439.6123	1172.9314	993.5092	728.0728	996.1823	914.8997	1015.8493	316.4151	506.7127	761.1407	713.0585	804.9668	769.9546	3796.908	4073.304	2768.4221	4911.2742	1850.1794	4548.0111	851.8589	1315.6174	1008.7506	1534.5088	418.334	1305.5364	785.4244	920.0507	1149.9124	1233.7205	864.3692	1073.7758	1069.5368	1096.1083	1173.98	813.9961	540.7173	836.5272	684.1388	1189.6253	771.2789	21258.4778	15927.6208	16536.3128	16946.6147	13120.8661	13315.8948
AEROBACTINSYN-PWY	63.6324	47.8205	83.3525	55.9571	118.1706	83.9032	72.3846	49.3269	33.78	79.3576	47.8169	58.3122	20.7657	62.6327	39.2948	0.0	0.0	0.0	54.1013	42.2569	42.1928	74.9016	46.2359	55.1214	123.9911	75.0316	80.0992	9.836	29.0958	43.5032	45.6524	37.9505	94.1493	144.6002	116.4917	72.1226	141.0476	53.4879	135.6603	43.222	15.033	64.1266	44.9588	45.0857	82.458	0.0	0.0	0.0	112.181	48.9534	80.1287	60.6326	97.0155	77.6259	73.3319	44.0457	29.1669	30.3071	78.3857	46.272	448.1682	259.1617	325.591	112.0239	84.3634	41.9613
ALL-CHORISMATE-PWY	4924.4977	7160.7926	7423.0979	14593.7109	14282.7679	18137.1349	18773.6144	12139.3468	17133.0215	13685.7514	14304.4293	8182.8419	6245.9376	12287.3584	17488.5811	584.8115	1553.0565	728.9294	11968.232	8768.94	7745.4943	14173.76	10510.7881	9564.1055	15872.5831	13817.6271	12711.1111	4012.3035	7121.5683	9440.6137	6893.1955	2724.5173	5679.7245	12664.9462	15154.7995	15931.1228	20327.9207	11206.5406	17691.1061	9180.0769	10078.7775	9157.9135	11289.6318	4569.3279	9279.5228	552.0488	322.0764	7087.3457	20855.1477	13542.7723	13799.079	16071.5143	15587.2104	16003.1078	11646.1463	7328.9948	10964.9234	11368.6618	15457.3192	12059.4464	57355.3362	42760.3672	44779.6396	44601.9002	39436.3264	33227.9118
ANAEROFRUCAT-PWY	36422.7484	46822.7712	48839.499	43984.7415	51371.3953	53671.4249	60336.933	33699.8084	56235.2184	50326.8778	58686.2308	41517.5154	35098.2022	52663.2256	64818.2108	22089.188	36928.252	37490.0675	45483.7723	34939.2275	33683.9515	53923.5046	42190.3793	39223.4037	55336.105	49622.0184	47279.6687	17032.5179	30461.6871	35919.346	42834.4302	19664.1839	35006.2523	46255.8778	46729.5978	42954.8539	57908.4968	35578.8508	61228.5793	34032.8693	36923.4845	43294.8497	44945.169	21795.3539	43685.7039	22304.43	26681.5441	27171.4683	76718.1795	52748.27	53615.0743	60819.1999	60062.7376	61512.0538	43519.0489	28477.7456	45449.3367	41986.103	55345.4699	48579.3085	108311.7538	79088.3721	86831.2845	96143.2686	87919.7706	75772.5379
ANAGLYCOLYSIS-PWY	47288.106	60184.699	62814.1531	51370.2884	59257.0058	65041.9263	70342.7682	41878.3988	70551.2106	66426.546	76851.1116	54114.1444	42187.7675	64766.3571	80157.057	30316.8941	50244.0224	50070.6073	61623.4605	47238.1178	44990.0322	72490.9119	56373.8979	52743.2851	76847.332	70095.1993	65875.4331	22738.1154	41269.1764	49565.7303	57071.6588	26580.6128	46609.3654	54660.1859	56679.2537	54366.0192	72040.4862	45904.4974	78018.9044	46773.7471	48235.0375	56970.7545	57237.6535	27133.8412	53841.2597	30695.3241	36777.9038	36753.0159	105498.0606	73154.2736	73515.8593	84178.1444	83184.555	85009.3493	60380.2749	40443.8471	63131.4295	58301.834	74414.351	67006.5702	145990.5458	106961.5035	117052.753	114888.669	102717.7364	90062.2671
ARG+POLYAMINE-SYN	21495.8432	27243.3319	27742.0462	24427.8941	27805.3536	32181.1248	30933.2477	21342.8576	34203.2177	30812.8879	34374.3127	23455.2831	18286.2001	29628.0599	37091.9114	9135.6195	13100.0312	13021.8386	22758.3331	17590.7099	17524.2895	27092.8098	20788.6702	19500.3421	27822.6681	25307.0449	23325.1975	8290.7783	15146.7004	18222.5043	25443.1496	11556.3859	20810.8011	25559.2686	27422.0813	25141.824	33736.6913	20793.642	34806.0865	22153.5753	21386.6924	25453.9989	26036.522	12307.2218	24490.1228	7894.651	9977.0844	12086.4443	40206.282	26650.584	26781.1393	30777.5563	30261.1609	30491.3081	22106.3338	14472.0724	23103.2743	20992.3709	27633.6735	24311.7993	76411.587	55526.3294	60436.8435	54992.8919	48345.2209	45439.3058
ARGDEG-PWY	0.56	0.0	0.0	288.9641	0.933	0.0	456.3327	263.8616	32.2206	19.5756	0.0	0.56	0.0	17.2464	0.0	1.6791	3.9173	6.1541	2.7566	0.0	3.1407	4.6067	0.9301	0.0	0.0	2.3181	0.0	0.0	3.0997	0.0	0.0	0.0	0.8399	104.7678	58.8014	75.2727	1104.3759	33.4914	35.1251	0.0	0.0	0.0	32.5638	0.0	1.8476	0.0	5.3144	60.3002	5.0675	6.7126	4.1284	0.0	0.0	0.0	0.9308	0.0	6.4287	0.0	2.7338	2.6979	0.0	0.0	0.0	35.583	446.2664	0.0
ARGORNPROST-PWY	4274.1318	6307.7114	6339.4309	6143.3236	7412.253	6466.4181	8779.1465	4570.8133	7205.8412	7097.9606	7584.9675	5501.5884	4167.2467	6010.7238	7382.8252	4694.1614	7813.7506	8209.8791	8144.8823	5857.7378	6017.8974	9099.7369	7519.4663	6715.2762	9530.4509	8145.7087	8581.7777	3336.7785	5854.866	6821.8613	5849.9981	2370.2906	4489.3764	6783.3254	7305.1829	6663.668	9420.8675	5188.4187	8456.4632	4636.9138	4770.7309	5802.6082	6325.3811	2531.6103	5007.4374	4574.5863	5377.0314	5478.9008	13272.1332	9557.3993	10340.8879	11012.3548	10340.9894	10874.2211	7793.5371	5265.0922	8183.5393	7813.9737	9668.5192	8501.0039	10913.4717	7776.6808	8716.8928	17506.7961	15899.1522	13240.4004
ARGSYN-PWY	40671.7555	51401.2397	53390.8153	41501.0024	48658.7397	54947.1858	56091.2199	35486.2533	59549.3869	56572.2352	66064.8804	46901.4888	36239.3494	56014.3162	69031.7228	25793.2428	43003.948	42499.9688	57355.0329	43891.9015	41950.0765	67032.6164	52369.7942	48719.1327	70983.7845	65135.5502	60780.9458	21217.5665	38387.6534	46065.1648	48944.8936	23029.6984	40222.215	44321.4301	46650.6409	45119.4985	60016.48	39271.8235	66034.8382	40187.9499	41849.2366	49541.3947	48160.6423	23357.817	46609.019	25912.094	31225.7741	31301.343	98155.6305	67789.8113	68037.3792	78388.3373	77537.7049	78754.1849	55938.1222	37596.562	58419.8361	54263.071	69361.5051	62702.0961	120922.0279	89107.0154	97443.3518	95064.3589	85150.7827	75154.4267
ARGSYNBSUB-PWY	45081.3115	57606.8405	59528.758	45813.2171	54808.8889	60830.4975	62813.2346	39059.1838	66172.6134	62522.1177	72909.8685	51325.2605	40123.5392	61540.9775	75640.3746	27962.1036	46570.9234	46181.0981	61278.5754	46998.7342	44802.5229	71803.316	56121.0204	52151.9764	76129.9002	69788.1319	65261.8039	22617.6352	40928.8862	49040.114	54089.8412	25290.3309	44246.8687	49909.5284	52043.755	50156.2513	66469.2556	43167.0384	73896.0686	43986.6373	45750.6302	54244.6721	53751.1468	25879.4198	51460.8365	28116.5936	33851.3019	33901.8853	104959.7999	72363.8349	72620.5619	84033.9416	82911.0047	84105.0433	59966.2288	40222.6604	62605.2589	57795.0141	73957.6942	66810.4162	131106.3721	96315.2907	105265.9829	104806.3989	93918.4518	82739.3823
ARO-PWY	43370.6379	54706.315	57459.1176	46422.1847	54652.132	61756.6373	62291.5324	37800.0409	63396.3434	59522.1215	69181.5056	48431.5291	37722.6374	57645.8958	71688.9656	26231.2966	43837.3491	43399.0753	61192.3816	46862.7507	44786.3329	72254.5024	55845.2794	52301.6059	76379.1101	69492.304	65275.1179	22611.9555	40812.4045	48902.6223	52101.9464	24034.9077	42732.777	49846.6377	52145.1911	50239.8261	64358.3831	41119.2716	70403.8902	41510.7853	43129.9837	51211.1285	51383.1357	24188.1643	48207.5962	26345.4155	31687.5835	32204.7569	104554.8758	72103.8464	72617.7762	84348.1229	83044.7145	84265.1779	60005.8796	40103.2553	62620.2185	57711.716	74132.7387	66206.3029	132602.0105	96961.5479	106229.9805	106034.548	94988.9526	82850.034
ASPASN-PWY	22339.4494	26705.5616	28919.1378	22415.1967	25850.9385	26773.4071	29781.1822	19441.9055	33417.3676	28656.2032	33706.0557	25103.2217	24383.7476	34507.6371	43867.9421	9636.635	15837.8308	15542.6406	17292.1375	13428.1935	13220.0623	21436.5339	16699.1425	15020.2694	21015.7757	19691.2648	17912.859	5832.3808	11102.6768	13567.7327	24741.7761	12141.4753	21880.0069	24312.2914	22104.6745	21408.6794	34712.6467	22158.6417	37706.0513	18651.342	21180.198	25668.2856	27563.9987	14404.5115	29027.8771	9369.2902	11917.3529	12153.8645	29687.1532	19245.1411	20144.4392	24015.3069	23697.7235	23414.5541	16760.4647	11266.7217	17558.6528	16154.3189	20692.5957	19713.2152	33376.5402	24781.4478	27672.2325	29788.0803	28038.7509	23366.5972
AST-PWY	2359.9813	4040.7317	3858.6468	4477.0049	5336.2223	2864.5701	7466.7681	3608.0654	6762.1833	4751.74	5271.6308	3055.132	3302.8357	3956.693	5592.3632	125.9548	380.6604	352.0308	1086.9364	784.1888	870.1359	1416.2529	1264.2816	1127.4929	1469.9374	1529.8018	1365.4524	377.0839	735.6736	954.2495	2781.3981	1194.4913	2586.8034	6550.0117	4935.3984	4040.9499	7564.0964	3829.7247	7279.9064	2281.6529	2824.94	2888.6038	5320.8606	2174.7498	4391.8966	254.7789	221.6358	715.5071	1785.6161	1330.6924	1176.1807	1493.786	1591.331	1609.3579	1148.3835	859.1378	1427.0488	904.4845	1127.1754	1142.0157	2818.7312	1929.4258	2187.1306	5028.1055	4602.0654	3840.2546
BIOTIN-BIOSYNTHESIS-PWY	16229.5116	21717.2363	22972.2073	26339.5623	27207.5159	30983.5171	33178.2932	17428.2021	29214.6461	23866.451	25915.4574	15533.8988	13167.957	19748.8355	26395.8498	1528.4862	3785.0451	2965.7227	13732.1243	11238.2666	10098.3941	19495.1871	13691.6448	13114.8018	20858.4188	18006.8565	17194.5309	5563.0375	9690.4465	10449.6417	19382.2228	8535.5334	15927.1262	28717.651	27220.7739	24367.2997	30683.0707	17012.7516	30056.6409	15329.1872	15431.7456	17753.856	21458.1053	9265.2389	17710.4313	1999.6454	2049.4042	4375.7539	24631.4571	15660.5956	15990.4514	21182.0241	20227.1556	19393.2842	14925.3017	9601.5247	15810.9533	12610.6848	19960.3071	14522.7172	46823.4131	32417.7483	37288.7783	39029.3658	34565.215	28226.8202
BRANCHED-CHAIN-AA-SYN-PWY	59963.2613	76337.299	79938.4826	67253.6648	78256.5844	88150.5724	91355.1591	54484.8842	91528.7689	85172.7149	97971.5827	68021.5722	51871.8395	81039.0255	100576.8206	36216.8789	60720.2014	59934.0436	91806.6259	70657.4862	67285.0932	108194.4712	84431.4544	78154.3069	113780.0147	104303.3256	97800.7553	34162.0343	61700.7697	74181.556	72739.034	33351.2765	59317.9005	72425.8759	76247.0671	71760.7839	92165.8904	58436.0712	98887.4999	59789.0466	61368.3791	72036.2783	72621.9039	34185.5534	67667.0796	36922.511	44024.2154	45209.4255	156798.7176	108917.392	109584.0419	126002.6429	125264.6758	127399.4219	89684.7692	60546.7935	94120.042	87593.2176	111680.6063	100986.5929	178835.4356	131545.3121	143575.3878	135415.2964	120539.4542	104748.4633
CALVIN-PWY	45381.4416	56941.1627	60543.8866	51344.3365	59862.1655	67073.3979	70027.013	41456.0915	68933.1295	63145.4736	73486.3093	51057.0039	40278.8772	61553.861	76815.0629	27362.8861	45559.2476	45090.3773	66164.2672	50575.7222	48693.82	78039.5953	60526.0825	56436.1939	81872.658	74862.3904	70332.6047	24249.2309	43870.1558	52699.7332	54229.1334	24832.8477	44535.9794	54538.8598	56374.352	53339.3754	70051.2265	43680.0875	74311.1624	44110.5912	45569.309	53672.0868	54676.2593	25907.5777	51187.9156	27511.0196	33169.6187	33695.9152	112453.6891	77355.7478	77971.7698	90928.8802	89744.9269	90738.9226	64553.9119	43306.0978	67566.0354	62181.927	79525.7293	72089.7995	145870.9144	106862.8173	116564.9095	114479.7433	102421.7333	90060.5984
CATECHOL-ORTHO-CLEAVAGE-PWY	4761.1842	7819.1737	7080.8665	6674.8445	9171.5056	5821.6264	9715.4472	4778.7431	9333.1306	6958.9452	8189.4063	4771.4285	4716.7506	6534.8108	8411.4421	876.836	1492.7715	1364.0026	3134.2358	2449.1833	2271.1387	4046.7955	2974.553	2806.9362	4131.2585	3524.0511	3405.3621	1082.0882	2003.9367	2208.0136	6062.1831	2773.5223	4803.3675	9901.5618	7964.8714	5880.4947	9988.7052	5316.3238	11311.6973	3838.1514	4612.1826	5132.4227	8050.2373	3455.8639	6545.508	869.237	868.8349	1293.5367	5531.0826	3781.021	3789.1378	4476.4264	4228.9072	4599.4503	3208.828	1893.4131	3214.2279	2651.9321	3468.5913	3267.1518	7832.6107	5175.2026	5179.5286	8398.2308	8013.614	6875.8903
CENTBENZCOA-PWY	2.25	0.0	0.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	1.5	0.0	2.25	0.0	6.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	6.5	0.0	14.0	0.0	0.0	0.0	2.0	0.0	0.0	5.5	9.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CENTFERM-PWY	14607.5072	17725.2049	19551.1851	11776.4225	13244.8002	14963.6356	14124.0464	10483.1738	19225.0834	18795.084	21680.762	15873.0954	12121.3664	18379.3667	21733.5187	7583.8658	12288.0432	12317.4983	3283.1617	2705.296	3001.8264	4106.6466	3588.1129	2869.3417	3908.7411	3478.8014	3073.9856	1179.8837	2036.5354	2728.4111	16676.9016	7950.1671	14282.6554	12940.3569	11800.2122	13302.5415	19736.6375	13245.6554	22369.1992	12903.1265	13482.4265	16302.086	16307.3323	7639.1142	14690.4657	6958.0338	9195.9595	8867.7382	6854.2057	4084.7243	4001.2945	4123.3054	3885.1485	3904.0982	2989.2761	1879.6142	3131.7385	2783.8842	3968.0159	3725.1599	33874.5825	23947.735	26435.256	28142.1281	24197.478	22085.9831
CHLOROPHYLL-SYN	95.3471	29.1436	79.2521	1544.4124	914.4378	885.113	1339.8041	1033.8314	793.9003	290.6079	304.7163	128.9185	267.6658	590.6133	807.0286	69.2704	60.8716	44.1685	124.809	85.5511	46.9618	97.0151	95.2341	66.8455	165.6582	103.6958	61.9552	38.6699	86.6038	139.0725	75.703	30.2748	13.9929	727.4656	1053.3854	686.0281	917.6482	389.8998	316.5078	160.7977	122.3332	235.4864	407.5003	244.4355	299.5746	0.0	13.9779	129.5592	223.4744	112.6433	172.2374	161.4401	163.0725	149.002	82.5746	80.8005	103.0944	122.9135	148.2374	118.9448	776.6827	891.9426	920.2113	79.6772	52.6546	62.938
COA-PWY	42528.5425	53792.0518	55904.8154	45687.3329	52279.6541	58556.5634	62243.9511	38688.0118	64425.9085	60471.1884	69842.0876	48701.126	37788.7221	58554.6256	72151.2549	24143.7146	40357.7292	39722.6788	62463.4951	47956.1808	45706.5459	73934.8035	57087.1101	53727.7124	78566.23	72359.9141	67083.6832	23042.8162	42105.4393	50613.1492	50867.9057	23487.5368	41661.3487	48506.0215	50884.5481	49001.9012	64642.2762	41319.5253	69812.2128	42911.0562	43628.7444	51429.5537	51033.9625	24393.0727	48439.9603	24168.6866	29247.841	30153.6887	107726.5428	74409.998	74332.0875	86337.0543	85788.4926	87414.004	61701.313	41632.056	64649.6892	59533.6227	75758.0748	69312.6908	128318.1695	93622.0906	103008.5021	100480.819	89384.1375	78045.7522
COBALSYN-PWY	23251.8229	29976.8545	30830.7042	23504.262	27749.4366	32653.8817	32274.7609	18919.7993	34902.021	31022.4837	37323.4287	27278.7293	24016.7613	35899.6007	44064.9253	15303.5254	24624.7806	25676.6796	27216.5279	20912.9702	19817.1507	31516.1595	24923.2786	22691.0465	32551.4611	30387.8124	27759.569	10077.5101	18645.2394	22221.5782	28149.526	13435.9563	23750.4632	26713.0427	27521.8308	25178.4418	34815.1589	23023.2731	40181.7955	21699.3861	23673.8958	28563.6995	28340.4526	15072.7264	30196.2228	15753.3212	18893.2001	18318.5661	46981.2228	32951.2116	33095.3243	35803.8832	37020.527	38286.4988	25604.0421	17393.9944	27069.8184	26360.6398	32222.964	30792.1528	57437.6596	43194.554	46210.5835	42587.405	38608.8822	33917.8385
CODH-PWY	4539.1221	6633.1685	6755.2668	2806.9957	3114.8203	2903.5739	3510.9737	2232.2684	4625.0214	5645.6718	6086.5825	4797.1762	3747.1387	4012.5771	5373.1574	4172.3165	8043.7987	8159.9849	8823.9964	7040.3343	6677.6597	11194.0327	8131.8743	7728.1165	11297.7565	10423.0884	10511.3618	3689.7392	6331.1622	7873.8627	5923.2126	2247.6038	4389.2701	3023.7675	3183.7828	2738.1036	4514.8655	3857.6921	6143.0623	3634.0249	3568.3891	4978.9369	5328.148	1889.2887	3591.5493	4122.4668	5062.8334	3921.1662	14770.0136	10971.0571	10547.1594	13822.7402	12959.9592	13048.314	9486.6148	6174.869	10027.8467	9192.7727	11109.0067	10425.4963	11062.34	8132.1119	9621.1876	4231.0296	3750.1583	2814.429
COLANSYN-PWY	22731.4574	29512.4951	30548.2069	30152.5339	34665.0965	38147.137	43154.5632	24672.4406	37852.9949	35209.9542	37012.9893	24739.7242	18677.3842	29512.247	38031.6917	11791.9224	19899.9503	20853.7194	36718.0233	28565.8742	26889.6944	43454.7509	33902.0504	32138.5334	47296.5451	42809.7702	40576.8822	13398.009	24226.391	28901.6371	26455.214	11855.1053	21695.624	33661.4059	35773.3711	32702.3467	39450.1364	22027.1561	36410.4025	24187.9598	21860.7897	24860.2628	29075.0389	12227.5017	24039.0698	12846.9669	14915.0663	17995.571	63589.6285	43558.9329	43265.9208	52005.5129	50856.7752	50950.4633	36785.6865	24475.7523	38443.1087	34152.6645	44738.4056	39001.7308	73989.2177	53791.681	58590.1887	41113.598	34770.7916	28830.1733
COMPLETE-ARO-PWY	45807.8316	57688.7879	60669.9163	49002.5416	57551.0874	65046.4808	65827.5447	39929.968	66986.0494	62867.4221	73080.2742	51111.4457	40001.5923	60981.7747	75729.0465	27560.4009	46026.2511	45511.0418	65109.9132	49862.6697	47667.4424	76884.2422	59380.5857	55651.3301	81292.2941	74009.1762	69474.186	24050.4147	43429.4938	52049.3986	54954.313	25328.05	45110.352	52582.602	55014.9295	53102.5188	67948.3839	43378.691	74235.1394	43855.6657	45514.0041	54051.1754	54136.1979	25579.1098	50980.8275	27620.4384	33275.3432	33881.0979	111277.9436	76741.5676	77236.7756	89773.3893	88409.6732	89696.8446	63864.3749	42696.7503	66680.0568	61430.8725	78883.3213	70511.2871	141531.7022	103451.3345	113378.9455	112829.3075	100842.2313	88185.8216
CRNFORCAT-PWY	3254.018	2956.9503	3923.2456	5566.6836	7750.5869	4894.8808	8187.7777	3330.0576	3697.3898	2930.4927	4155.6738	2418.3813	2997.7382	3030.4698	4324.6915	278.6064	486.1201	431.1461	4613.8783	3507.8777	3676.616	6172.1308	4487.2663	4889.7369	4680.1888	3701.3335	4238.0502	1072.9823	2600.923	2810.9721	2156.403	530.038	1210.9972	4444.2711	4015.6905	3817.4662	4230.4389	1262.6317	3366.4053	1110.628	1138.4865	1481.3429	3541.2032	1009.3174	1887.455	248.4089	152.179	874.5216	6420.5202	3947.307	4547.9481	5350.638	5146.7776	5150.7422	3888.0576	2105.2193	3678.0274	3318.6579	4421.5888	3846.6471	1819.6392	1551.0765	1310.5611	4085.8632	3784.9982	2865.3613
DAPLYSINESYN-PWY	40015.7017	52554.655	54220.7136	46632.351	53717.7198	58789.9047	62233.1766	36635.2435	62788.7097	57079.3269	66396.1892	45689.9498	34277.3114	53098.8935	66416.3272	24220.9581	39358.8377	40056.1114	53069.4799	40738.8386	38393.8773	61485.3058	48123.1325	45342.745	64962.1642	59724.9342	55134.5128	19661.8489	35901.4044	42730.9788	49206.6278	23033.1289	40205.6347	50610.8529	51937.0075	48995.6972	63506.2081	40473.4435	69698.7873	39505.492	41563.4998	49157.5421	49956.8289	23039.6912	45673.1058	24598.3017	29355.2439	30462.7302	91112.0732	63587.1645	63660.0641	69473.1793	70402.0236	72608.4475	50787.2762	34325.4718	53399.8959	50354.9489	63298.0954	57673.2581	110434.1703	81202.6926	90095.5556	91892.1998	82833.9032	70949.4306
DENITRIFICATION-PWY	921.0291	1057.9507	1435.162	3889.9821	2600.7968	4681.4402	5077.898	2720.2427	3805.4489	2383.7743	3301.162	1650.9399	1181.4613	2054.0607	2063.0823	95.9291	238.9654	183.6713	1526.4922	1072.901	1042.3069	2133.5727	1669.4369	1510.6867	2245.8282	2130.1374	2077.9647	530.3899	1101.8385	1228.5355	967.6365	188.3669	878.7503	2954.9743	3043.8687	4012.7766	4247.817	2089.2193	2662.5427	1729.5533	1412.3415	1539.5479	1591.2027	655.9537	1310.5369	144.262	167.6037	915.6135	2488.1762	1832.1623	1713.5053	2303.7991	2202.4015	2313.0108	1769.8956	1187.585	1863.6974	1287.4592	1699.341	1504.4859	12783.7932	9065.448	9860.627	4183.3013	3556.5218	2589.5858
DENOVOPURINE2-PWY	21439.9153	27241.7746	27962.3955	14708.6563	19295.0661	24458.4063	23157.3453	14340.8881	25274.8867	24651.2133	29426.2477	21412.2731	16756.1094	21842.1519	28761.0005	13072.1868	23345.426	22997.1692	41361.7714	31468.8991	30681.9509	49141.499	37995.7007	34480.0402	50803.3608	47563.1442	43729.1724	14868.0234	26902.71	32819.462	24755.5286	10079.518	19354.0801	17525.6475	16564.7902	15315.7511	26349.0424	18759.4883	30707.5607	16686.1546	19941.9626	23739.533	23039.1042	10194.2738	19985.4274	13890.6702	17130.1409	14427.2701	69891.1227	47306.4385	48306.9548	57992.5171	57769.0054	57488.3156	40071.4281	27594.1825	42916.3394	39375.1551	50103.0206	46669.8343	90747.3984	65013.206	72621.2572	79916.4324	70322.825	62475.4419
DHGLUCONATE-PYR-CAT-PWY	0.0	0.0	52.349	14.9857	27.4634	39.9267	793.5926	357.5785	82.1768	17.4833	0.0	116.519	7.4943	0.0	29.9588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.9345	0.0	0.0	0.0	0.0	24.8301	0.0	7.4923	9.9923	54.8363	47.3748	67.1896	723.3976	49.7952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.1672	0.0	0.0	37.2961	0.0	0.0	24.9097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	313.6368	221.2124	289.8035
DTDPRHAMSYN-PWY	38915.6113	50246.7849	52696.5959	44905.0683	52236.6644	57364.1173	61940.5287	35176.4378	58912.6198	54378.2616	61550.0305	42323.6713	31754.4286	49347.4955	62609.6212	23052.3282	38492.8062	38097.6657	53602.748	41027.1645	38711.8714	62093.3919	48366.8195	45631.803	66264.609	60401.6163	56852.7816	19725.6345	36325.7566	43178.6148	47297.0554	21336.3592	38436.1477	48510.7994	51277.0689	48282.4104	60441.3923	37436.6428	64209.2563	38000.0077	38014.7797	44881.9855	48452.4805	20692.999	41169.379	23093.4093	27589.6842	29168.393	91396.7912	64273.4666	63928.0629	72319.5747	71993.5769	73668.909	52189.7315	35001.2259	54404.0603	50784.8182	64316.732	57896.4873	116272.6368	83533.3777	92303.9166	82724.5625	72727.4643	63434.523
ECASYN-PWY	0.4285	1.4352	0.0	149.7624	0.4286	0.0	265.8033	184.4747	17.1151	14.975	0.0	0.4285	0.0	8.5582	9.9926	1.2839	2.9958	4.7001	1.4936	0.0	1.7386	2.4849	0.4991	0.0	0.0	1.0713	0.0	0.0	1.7366	0.0	0.0	1.0711	0.6427	53.2704	27.7835	36.2854	709.9726	25.6404	23.5305	0.0	0.0	0.0	19.2226	1.0709	0.857	1.0701	4.0515	45.6171	2.7364	3.6913	2.2302	0.0	0.0	0.0	0.4992	0.0	3.3333	0.0	1.493	1.4916	0.0	0.0	0.0	0.0	347.3807	0.0
ENTBACSYN-PWY	1224.9838	2161.6387	1995.4728	4911.5835	5703.7515	7260.1823	6829.9583	4803.8529	5629.1818	4361.051	3783.3008	1790.7161	1689.1853	3635.5813	5088.3582	3475.0077	5110.9202	4712.5652	4830.5084	3245.5441	2813.3764	4470.797	3357.9769	2764.2357	4934.5422	4565.918	3504.2874	1983.6727	3286.95	4278.679	2220.2396	1420.5727	1735.0265	4154.1967	6293.8517	5558.8147	8615.3461	4243.9818	6679.2953	2724.7986	3201.5201	2408.5305	3940.7269	1440.6636	2740.6497	3599.1153	4245.9914	4343.0059	7970.2915	5721.206	5543.8841	5019.0468	4963.3519	5014.0847	3794.8155	2360.5924	3242.7936	5515.7043	7049.0926	5313.7525	35604.7023	29491.0888	27104.215	44164.012	41467.7669	36119.0486
FAO-PWY	53893.6104	69233.4661	72377.6537	59768.8409	68534.5274	73533.6198	76668.7286	47615.7363	82850.9211	74867.9944	87275.9297	59338.2835	48793.8118	74201.301	93151.3129	27289.959	44323.0248	45163.3531	72132.4901	55182.753	51940.6573	82735.1402	64651.7558	60375.2518	87593.2031	80652.9084	74274.8527	26807.9973	49812.9378	59699.0497	66571.8129	30297.9841	54200.8469	65969.619	67377.3059	63882.534	82343.845	53751.6149	93806.3623	52785.8656	55380.2897	64597.9252	67307.7628	31685.1807	63077.6496	27708.2849	33337.7564	35666.3491	123311.4381	87277.2364	87644.349	93182.2298	94957.8462	99571.2737	68485.0891	46614.3115	72339.2976	70183.0156	86312.7387	80276.1536	148421.4282	109238.8431	118824.1913	114400.5822	101884.964	88742.784
